Experiment_Index,runtime,accpt_rate,mmd
0,00:06:24,0.0003872,0.13721645
1,00:05:43,0.001755,0.14230382
2,00:05:50,0.000718,0.1420388
3,00:05:47,0.0018192,0.13773292
4,00:06:17,0.001121,0.13753614
5,00:06:20,0.0008622,0.1366955
6,00:07:54,0.0005248,0.13781835
7,00:05:34,0.0010166,0.13850853
8,00:05:58,0.000723,0.13407344
9,00:05:36,0.0004798,0.14284515
