Experiment_Index,run_time,mmd,acceptance_rate
0,02:07:57,0.13363269,0.001087
1,02:07:58,0.13380052,0.001166
2,02:07:59,0.12612468,0.0005382
3,02:08:00,0.13934301,0.0023694
4,02:07:57,0.13018471,0.0008008
5,02:07:44,0.12433676,0.0004344
6,02:08:00,0.13189296,0.000958
7,02:08:05,0.13390397,0.0012324
8,02:07:51,0.13434233,0.0011898
9,02:08:52,0.13471067,0.0012616
