Experiment_Index,train_time,refined_time,mmd_nn,mmd_nn_r,accp_rate
1,00:07:04,00:06:56,0.07959096,0.049160138,0.16370153
2,00:04:47,00:06:13,0.055184066,0.013869613,0.09254308
3,00:05:27,00:06:18,0.09186654,0.026308209,0.08146
4,00:04:33,00:06:18,0.092550054,0.032564506,0.08766308
5,00:08:18,00:06:07,0.06562066,0.021649495,0.087658465
6,00:06:14,00:06:17,0.027263507,0.012578636,0.04427846
7,00:05:10,00:06:16,0.053425744,0.030710071,0.06568
8,00:04:33,00:06:12,0.059158966,0.02144511,0.11720769
9,00:06:18,00:06:20,0.0364421,0.015873745,0.041653845
10,00:07:03,00:06:16,0.06905952,0.030219361,0.07792
11,00:07:57,00:06:56,0.02292788,0.014510244,0.054024614
12,00:04:41,00:06:13,0.05182241,0.036802873,0.10747692
13,00:05:32,00:06:21,0.02352044,0.024793997,0.06654616
14,00:04:55,00:06:05,0.087882325,0.04864046,0.16785231
15,00:04:37,00:06:15,0.07628584,0.032820866,0.09760154
