Experiment_Index,train_time,refined_time,mmd_bf,mmd_bf_r,accp_rate
1,00:36:02,00:06:23,0.06115143,0.04675752,0.03266
2,00:35:51,00:06:58,0.053070515,0.027264118,0.03603
3,00:36:32,00:06:13,0.04627581,0.029820606,0.11983
4,00:36:27,00:06:08,0.06645371,0.067342535,0.08333
5,00:36:47,00:06:27,0.058973446,0.034162745,0.022
6,00:36:54,00:06:14,0.02935873,0.01443772,0.05775
7,00:36:45,00:06:05,0.05065073,0.01911135,0.04615
8,00:35:40,00:06:14,0.089141935,0.062463924,0.09801
9,00:35:51,00:06:12,0.050405428,0.031883195,0.07896
10,00:36:40,00:06:13,0.049543202,0.022281826,0.0621
11,00:35:38,00:06:18,0.05133055,0.028440341,0.04371
12,00:36:24,00:06:14,0.116541,0.085330434,0.16845
13,00:36:11,00:06:08,0.050797045,0.032629967,0.01331
14,00:36:24,00:06:21,0.061545074,0.04811439,0.09576
15,00:35:42,00:06:15,0.02879171,0.018394947,0.08195
