Experiment_Index,ci_length_1,ci_length_2,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2
0,0.3452621356276836,0.28108202500678214,0.2684283153401795,0.6136904509678631,0.04055989729611864,0.3216419223029008
1,0.27966201568556803,0.2253094440407325,0.2891764118945599,0.5688384275801279,0.05787311105927584,0.28318255510000834
2,0.33348223971593227,0.2661945925144219,0.26395212276886504,0.5974343624847973,0.041921596991545185,0.3081161895059671
3,0.3353137344440884,0.26399391359748847,0.2680340686400735,0.6033478030841619,0.04470855717386024,0.3087024707713487
4,0.2603701724616977,0.21246725210301298,0.29108149182057563,0.5514516642822733,0.05575781220006282,0.2682250643030758
5,0.3141238198240801,0.2513247500304824,0.2705338497877562,0.5846576696118363,0.039981892452738754,0.29130664248322113
6,0.2989566735007144,0.2346729022899724,0.2699642694160541,0.5689209429167685,0.045468131761789876,0.28014103405176227
7,0.3002040849135159,0.24123705308935894,0.2772471344548588,0.5774512193683747,0.04784464958818946,0.2890817026775484
8,0.28976154628972006,0.2217918820992303,0.27871656566432257,0.5684781119540426,0.0577155526661719,0.2795074347654022
9,0.30422145939481415,0.24132475240539353,0.2769613595912127,0.5811828189860269,0.050173797444106216,0.29149854984949974
