Iteration,MMD,refined MMD
1,0.110336915,N/A
2,0.11036211,N/A
3,0.1116025,N/A
4,0.1124277,N/A
5,0.10214783,N/A
6,0.10851608,N/A
7,0.1045337,N/A
8,0.093018636,N/A
9,0.104654476,N/A
10,0.11518141,N/A
