Iteration,MMD,refined MMD
1,0.026289389,0.009586632
2,0.041501597,0.012709126
3,0.03243199,0.012495369
4,0.02409421,0.0048962533
5,0.025431715,0.01062493
6,0.06185986,0.02592124
7,0.028445005,0.005979866
8,0.040989943,0.024652407
9,0.02265191,0.012732029
10,0.03902839,0.019486211
