Iteration,MMD,refined MMD
1,0.007676646,0.005471468
2,0.029050112,0.025195047
3,0.019283801,0.009517521
4,0.019435264,0.00873372
5,0.03170903,0.03131464
6,0.033375897,0.020448945
7,0.028649159,0.010161519
8,0.024740502,0.014006868
9,0.015238859,0.016039334
10,0.035676643,0.029786706
