Iteration,MMD,refined MMD
1,0.13119075,N/A
2,0.12238059,N/A
3,0.124916665,N/A
4,0.12444128,N/A
5,0.12550443,N/A
6,0.124667294,N/A
7,0.123247154,N/A
8,0.120434195,N/A
9,0.12306505,N/A
10,0.12666649,N/A
