Iteration,MMD,refined MMD
1,0.10402525,N/A
2,0.098792486,N/A
3,0.099215254,N/A
4,0.096678555,N/A
5,0.10927681,N/A
6,0.090875864,N/A
7,0.1061314,N/A
8,0.10045488,N/A
9,0.09289664,N/A
10,0.10164512,N/A
