Iteration,MMD,refined MMD
1,0.021606475,0.009467885
2,0.02845031,0.020548545
3,0.019553527,0.015402183
4,0.040839575,0.035385713
5,0.05628849,0.044397295
6,0.017284676,0.009562507
7,0.037145868,0.03212157
8,0.019086435,0.02360724
9,0.119269505,0.119886994
10,0.024847984,0.020445459
