Iteration,MMD,refined MMD
1,0.035132796,0.016950622
2,0.03247249,0.02067171
3,0.054976434,0.028363153
4,0.03751438,0.01917193
5,0.08657107,0.054439925
6,0.025587663,0.021399185
7,0.03312747,0.01676263
8,0.0724192,0.022427611
9,0.023724899,0.011162415
10,0.013257727,0.014337599
