,model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd
0,nn,toy_example,0.041478412900000004,0.022568678000000002,0.034130133,0.01992182
1,bf,toy_example,0.0384372845,0.0330825391,0.026649146999999998,0.0220778925
2,dnnabc,toy_example,0.1257485265,,0.1248755425,
3,w2abc,toy_example,0.0999992259,,0.099835067,
