,model,benchmark,mean_mmd,refined_mean_mmd,median_mmd,refined_median_mmd
0,nn,toy_example,0.0626268608,0.0252171948,0.061864151,0.023988831500000002
1,bf,toy_example,0.0549567104,0.034709163,0.0521291755,0.030222181
2,dnnabc,toy_example,0.13760090399999997,,0.13663956500000002,
3,w2abc,toy_example,0.13123886599999998,,0.13272292000000002,
