,model,benchmark,mean_bias,refined_mean_bias,median_bias,refined_median_bias
0,nn_prior,lv,0.146893214,0.01806166285,0.14778766999999998,0.0099609755
1,bf,lv,0.16615852339999998,0.02015837953,0.16004460999999998,0.0086212085
2,dnnabc,lv,0.337154257,,0.31168470000000004,
3,w2,lv,4.229654329609988,,4.306189668048361,
4,nn,sir,0.09903186309999999,0.002224903965,0.101692263,0.00180724775
5,bf,sir,0.0041138710999999994,0.0032093131500000004,0.0036678509999999998,0.00307678585
6,dnnabc,sir,0.009421314580000001,,0.0079778915,
7,w2,sir,0.039229691875992644,,0.038882384113682444,
