Iteration,MMD,refined MMD
1,0.13614352,N/A
2,0.14122508,N/A
3,0.14106205,N/A
4,0.1365357,N/A
5,0.13647448,N/A
6,0.13545755,N/A
7,0.13674343,N/A
8,0.13753167,N/A
9,0.13301024,N/A
10,0.14182532,N/A
