Iteration,MMD,refined MMD
1,0.13267648,N/A
2,0.13276936,N/A
3,0.12524275,N/A
4,0.13826598,N/A
5,0.12903811,N/A
6,0.12362739,N/A
7,0.13089475,N/A
8,0.13282007,N/A
9,0.13333462,N/A
10,0.13371915,N/A
