Iteration,MMD,refined MMD
1,0.057228617,0.044412345
2,0.053001493,0.026932076
3,0.04659965,0.028474167
4,0.065417856,0.065096915
5,0.058557346,0.033779405
6,0.028354079,0.013425067
7,0.051256858,0.01988107
8,0.08903847,0.06262946
9,0.05088926,0.031970195
10,0.049223475,0.02049093
