Experiment_Index,train_time,refined_time,mmd_nn,mmd_nn_r,accp_rate
1,00:07:03,00:06:08,0.05653687,0.043745592,0.082423076
2,00:05:14,00:06:17,0.086140424,0.05976814,0.11186154
3,00:04:47,00:06:15,0.030067831,0.016153604,0.11503846
4,00:07:35,00:06:24,0.032910183,0.022423789,0.10324
5,00:05:02,00:06:11,0.03764379,0.038588777,0.10062308
6,00:04:31,00:06:13,0.073856294,0.05757059,0.08757385
7,00:04:05,00:06:16,0.033890963,0.027179569,0.111858465
8,00:05:35,00:06:07,0.016086549,0.01295875,0.11731846
9,00:04:39,00:06:08,0.12107204,0.049042985,0.112873845
10,00:04:21,00:06:08,0.01393804,0.011616319,0.14881231
11,00:05:55,00:06:10,0.04736416,0.0123645365,0.16444
12,00:07:19,00:06:18,0.06641959,0.051717415,0.1303523
13,00:04:57,00:06:11,0.07109702,0.052504554,0.088932306
14,00:06:38,00:06:12,0.07865998,0.030847743,0.12029077
15,00:07:43,00:06:14,0.042777926,0.031982973,0.13579077
