Iteration,MMD,refined MMD
1,0.03277625,0.021373652
2,0.05185917,0.01920928
3,0.032538332,0.024619982
4,0.032508597,0.010121226
5,0.04901682,0.02413635
6,0.04760482,0.015945047
7,0.061795846,0.02512315
8,0.022596657,0.013932481
9,0.037434526,0.015252709
10,0.022383302,0.012264632
