Experiment_Index,run_time,mmd,acceptance_rate
0,00:04:50,0.1296766,0.00864
1,00:04:52,0.13099061,0.010478
2,00:04:52,0.13130023,0.01023
3,00:04:51,0.13054265,0.009236
4,00:04:51,0.13098228,0.010388
5,00:04:51,0.13092932,0.010168
6,00:04:51,0.13162562,0.011698
7,00:04:50,0.13094208,0.01077
8,00:04:50,0.13158609,0.011742
9,00:04:51,0.13109067,0.011062
