Experiment_Index,runtime,accpt_rate,mmd
0,00:04:13,0.012654,0.13259657
1,00:03:26,0.014134,0.1324314
2,00:03:38,0.009828,0.13207304
3,00:04:19,0.009486,0.13155432
4,00:03:14,0.00996,0.13320345
5,00:02:31,0.015386,0.13388449
6,00:02:30,0.006658,0.1307616
7,00:02:54,0.011726,0.1319208
8,00:03:02,0.011066,0.13353898
9,00:03:00,0.010766,0.13177523
