Experiment_Index,interval_length_theta1,interval_length_theta2,interval_length_theta3,interval_length_theta4,low_Y0_1,high_Y0_1,low_Y0_2,high_Y0_2,low_Y0_3,high_Y0_3,low_Y0_4,high_Y0_4
0,2.0536545946686457,6.7008297917038355,1.8011302392237916,6.710087009839867,-0.057056577023391064,1.9965980176452547,-4.837721107373797,1.8631086843300384,-1.0188066609725297,0.7823235782512619,-4.760475429595516,1.9496115802443512
1,2.294130778776407,6.795655076847876,2.044063208351168,6.847854162142594,-0.29848490406054573,1.9956458747158612,-4.941281511164192,1.8543735656836837,-1.2884882498457504,0.7555749585054174,-4.900514633350612,1.9473395287919821
2,2.3442168711142806,6.788855845323278,2.2957985327412573,6.8190131498162705,-0.35058909582268516,1.9936277752915954,-4.921718041742885,1.867137803580393,-1.5455107400498718,0.7502877926913856,-4.912687804245832,1.9063253455704388
3,2.4396821543481977,6.791263267663658,2.438289024799731,6.831402403780201,-0.4450437991187268,1.9946383552294709,-4.961489125605814,1.8297741420578442,-1.628951278724045,0.8093377460756859,-4.897902707810649,1.9334996959695516
4,2.4168410460343885,6.735522657869984,2.863387149337799,6.826276705672424,-0.42482788009213124,1.9920131659422573,-4.943512787815098,1.792009870054886,-1.8808177966427313,0.9825693526950676,-4.9274152987057995,1.898861406966624
5,2.1665354086752693,6.787683841054901,2.0121166493280307,6.799894970105499,-0.17129021453686466,1.9952451941384046,-4.920862033946965,1.8668218071079359,-1.1604027299303703,0.8517139193976604,-4.845220187025017,1.954674783080482
6,2.492773591644233,6.737824669895344,3.243535239363723,6.834512547464399,-0.49984587432358296,1.9929277173206499,-4.95080544363553,1.7870192262598144,-1.9859370376898537,1.2575982016738694,-4.95861490974286,1.8758976377215397
7,2.1040829873367697,6.791943922895637,1.702564067746982,6.7056389978204995,-0.10841487294606367,1.995668114390706,-4.870721859115743,1.9212220637798945,-0.8738757082833786,0.8286883594636034,-4.768968847049592,1.9366701507709072
8,2.2056908669906425,6.8366468554232505,2.100396690002712,6.772280330311274,-0.20967655523565565,1.996014311754987,-4.930034927096715,1.9066119283265355,-1.3435009046948263,0.7568957853078855,-4.824075058831166,1.9482052714801075
9,2.436101769403095,6.6991910364161456,2.98142080801286,6.80245669831254,-0.4482388506795747,1.9878629187235202,-4.9411427046114955,1.75804833180465,-1.806285132831479,1.175135675181381,-4.901798202137018,1.900658496175522
