Experiment_Index,runtime,accpt_rate,mmd
0,00:07:30,0.0013906,0.103942335
1,00:04:50,0.0013948,0.10293865
2,00:05:09,0.0006132,0.11380933
3,00:05:11,0.0007936,0.09109991
4,00:06:10,0.0008526,0.09545003
5,00:07:08,0.0004908,0.11873261
6,00:06:27,0.0023856,0.11470982
7,00:05:52,0.0013996,0.09587006
8,00:05:39,0.0015642,0.10461956
9,00:05:48,0.0005608,0.10160998
