Experiment_Index,run_time,mmd,acceptance_rate
0,00:26:11,0.08646808,0.0009944
1,00:26:11,0.08200823,0.0007252
2,00:26:04,0.08208547,0.000887
3,00:26:06,0.08026635,0.0005778
4,00:26:12,0.09057677,0.0016906
5,00:26:19,0.07560245,0.0004316
6,00:26:16,0.08783256,0.0014374
7,00:26:09,0.08328906,0.0009276
8,00:26:16,0.077115215,0.0004002
9,00:28:56,0.08437588,0.0009476
